,valeur_fonciere,surface_relle_bati
count,215.0,215.0
mean,199776.753627907,51.74883720930232
std,127943.48119569181,15.503155724775729
min,73300.0,20.0
25%,151254.0,40.0
50%,165426.42,45.0
75%,207450.0,64.0
max,730437.0,101.0
