,valeur_fonciere,surface_relle_bati
count,1236.0,1236.0
mean,428737.6453478963,62.986245954692556
std,956894.6054712036,20.668518692060925
min,0.0,6.0
25%,115665.0,45.0
50%,144000.0,63.0
75%,184625.0,77.0
max,3921037.0,235.0
