,valeur_fonciere,surface_relle_bati
count,3063.0,3063.0
mean,637868.2628240291,52.34965719882468
std,1634814.7442347284,16.361112283307158
min,30000.0,10.0
25%,149500.0,41.0
50%,176567.0,48.0
75%,235900.0,63.0
max,9975263.0,235.0
