,valeur_fonciere,surface_relle_bati
count,14235.0,14235.0
mean,453433.22455778,55.40266947664208
std,867241.9708762034,36.34990088383202
min,1.0,4.0
25%,139500.0,30.0
50%,236050.0,47.0
75%,440000.0,70.0
max,10789484.0,750.0
