,valeur_fonciere,surface_relle_bati
count,5820.0,5820.0
mean,432140.43977147754,60.83711340206185
std,1597138.7779571342,22.58517925462229
min,1.0,8.0
25%,129000.0,46.0
50%,166000.0,62.0
75%,220500.0,71.0
max,16142400.0,396.0
