,valeur_fonciere,surface_relle_bati
count,393.0,393.0
mean,199018.3636386768,53.67430025445292
std,187509.69901858165,15.626566079277486
min,1.0,27.0
25%,137800.0,42.0
50%,161215.38,50.0
75%,202500.0,62.0
max,1203914.73,165.0
