,valeur_fonciere,surface_relle_bati
count,1472.0,1472.0
mean,229027.44452445646,59.124320652173914
std,269602.980931882,16.39958732797796
min,0.0,24.0
25%,147000.0,45.0
50%,178000.0,61.0
75%,220000.0,67.0
max,2944440.0,159.0
