,valeur_fonciere,surface_relle_bati
count,544.0,544.0
mean,413306.8599816176,55.237132352941174
std,1086695.5451382655,22.64110287639345
min,29190.0,15.0
25%,139382.5,42.75
50%,161853.0,50.0
75%,207500.0,64.0
max,7485710.0,350.0
