,valeur_fonciere,surface_relle_bati
count,2311.0,2311.0
mean,401163.8593639112,54.21981826049329
std,1034071.4340824245,18.421100412295104
min,0.0,13.0
25%,120176.5,41.0
50%,155000.0,51.0
75%,206000.0,65.0
max,8115000.0,180.0
