,valeur_fonciere,surface_relle_bati
count,1368.0,1368.0
mean,778582.1787061403,54.175438596491226
std,1846408.759507494,25.787578239688642
min,1000.0,14.0
25%,90950.0,31.0
50%,150000.0,50.0
75%,231718.14250000002,72.0
max,9050000.0,131.0
