,valeur_fonciere,surface_relle_bati
count,2761.0,2761.0
mean,346851.06542919244,57.494748279608835
std,693481.0097282835,22.904149470983377
min,250.0,9.0
25%,122860.0,41.0
50%,168000.0,58.0
75%,242000.0,72.0
max,4825000.0,240.0
