,valeur_fonciere,surface_relle_bati
count,309.0,309.0
mean,193080.47009708735,52.35275080906149
std,164838.90524311617,23.409437973596248
min,30000.0,11.0
25%,117670.0,26.0
50%,135000.0,60.0
75%,186604.0,69.0
max,935000.0,115.0
