,valeur_fonciere,surface_relle_bati
count,356.0,356.0
mean,629742.750224719,54.76123595505618
std,1613209.9287943647,16.918254584513797
min,75000.0,20.0
25%,157374.75,41.0
50%,183500.0,55.0
75%,230000.0,64.0
max,7894646.5,161.0
