,valeur_fonciere,surface_relle_bati
count,267.0,267.0
mean,374567.6013108615,55.63670411985019
std,403191.68955332245,20.38757548628866
min,55100.0,25.0
25%,114700.0,41.5
50%,168561.87,50.0
75%,415000.0,66.5
max,1258446.2,127.0
