,valeur_fonciere,surface_relle_bati
count,1208.0,1208.0
mean,370947.7000993378,56.19039735099338
std,763438.8269202305,17.142760593612156
min,39480.0,13.0
25%,144449.95,43.0
50%,175000.0,57.0
75%,223525.0,65.0
max,6231966.0,161.0
