,valeur_fonciere,surface_relle_bati
count,82.0,82.0
mean,267739.15853658534,57.09756097560975
std,309793.3892522273,20.43454455723612
min,60000.0,24.0
25%,132875.0,41.0
50%,145000.0,59.0
75%,188012.5,67.0
max,1040100.0,150.0
