,valeur_fonciere,surface_relle_bati
count,3921.0,3921.0
mean,1046424.6983626626,47.424381535322624
std,2378162.374781801,23.770006767260675
min,5.0,2.0
25%,109533.0,26.0
50%,166600.0,43.0
75%,297000.0,64.0
max,10500000.0,200.0
