,valeur_fonciere,surface_relle_bati
count,2466.0,2466.0
mean,574380.5860583943,56.20681265206812
std,1619805.1273807534,18.777813994086973
min,1.0,9.0
25%,135510.0,43.0
50%,170673.5,55.0
75%,225725.0,67.0
max,9309300.0,180.0
