,valeur_fonciere,surface_relle_bati
count,1648.0,1648.0
mean,492454.129830097,64.19478155339806
std,1284856.3214694518,23.80400229522366
min,1.0,12.0
25%,134601.25,46.0
50%,174175.0,63.0
75%,250625.0,76.25
max,6662829.0,183.0
