,valeur_fonciere,surface_relle_bati
count,605.0,605.0
mean,965068.0824628099,56.844628099173555
std,2263724.5913557694,19.919598116961645
min,2100.0,1.0
25%,156000.0,42.0
50%,200000.0,58.0
75%,258550.0,66.0
max,7894646.5,180.0
