,valeur_fonciere,surface_relle_bati
count,589.0,589.0
mean,198777.4424957555,60.00848896434635
std,147496.80037137718,25.37745522973842
min,25000.0,16.0
25%,131500.0,42.0
50%,163500.0,58.0
75%,205000.0,71.0
max,1360000.0,300.0
